reason,bot_version,ai_threshold,decision,features_ema9,edge_trigger_reason,exchange,features_delta,data_symbol,ts,effective_threshold,early_fail_enabled,features_price,skip_stage,edge_threshold,trade_id,ai_error,fee_profile,research_model,ai_decision_text,research_lane,ai_win_prob,experiment_tag,analyzer_sync_id,controls_edge,ai_source,ai_error_detail,edge_score,final_direction,invert_signal
COMPLETE,v10.7-fresh-scope-relay-audit-2026-06-25,44.0,COMPLETE,60993.021842,PERIODIC_RESEARCH_AI,bitfinex,-5.249846,tBTCF0:USTF0,2026-06-25T00:05:28.040745+00:00,3.0,True,61127.0,COMPLETE,3.0,cont-2dda54b8e235,False,BITFINEX_ZERO,Continuous AI Research,APPROVE,CONTINUOUS,62,INV_False_EF_True,v10.7-fresh-scope-relay-audit-2026-06-25,3.0,SPAWN,,1.1,SHORT,False
APPROVE,v10.7-fresh-scope-relay-audit-2026-06-25,44.0,AI,60993.021842,PERIODIC_RESEARCH_AI,bitfinex,-5.249846,tBTCF0:USTF0,2026-06-25T00:05:28.099945+00:00,3.0,True,61127.0,AI,3.0,scan-5fed7015a90f,False,BITFINEX_ZERO,AI Scan (no orders),APPROVE,AI_SCAN,62,INV_False_EF_True,v10.7-fresh-scope-relay-audit-2026-06-25,3.0,,,1.1,,False
APPROVE,v10.7-fresh-scope-relay-audit-2026-06-25,44.0,AI,60993.021842,PERIODIC_RESEARCH_AI,bitfinex,-5.249846,tBTCF0:USTF0,2026-06-25T00:05:28.278744+00:00,3.0,True,61127.0,AI,3.0,c604c-10f5d73313f0,False,BITFINEX_ZERO,AI60-65 · Spread4 · Chase 3+,APPROVE,COMBO_604_SP4_CHASE_3PLUS,62,INV_False_EF_True,v10.7-fresh-scope-relay-audit-2026-06-25,3.0,,,1.1,,False
COMPLETE,v10.7-fresh-scope-relay-audit-2026-06-25,44.0,COMPLETE,60993.021842,PERIODIC_RESEARCH_AI,bitfinex,-5.249846,tBTCF0:USTF0,2026-06-25T00:05:30.113209+00:00,3.0,True,61127.0,COMPLETE,3.0,c604c-10f5d73313f0,False,BITFINEX_ZERO,AI60-65 · Spread4 · Chase 3+,APPROVE,COMBO_604_SP4_CHASE_3PLUS,62,INV_False_EF_True,v10.7-fresh-scope-relay-audit-2026-06-25,3.0,SPAWN,,1.1,SHORT,False
APPROVE,v10.7-fresh-scope-relay-audit-2026-06-25,44.0,AI,61002.621842,PERIODIC_RESEARCH_AI,bitfinex,-5.031195,tBTCF0:USTF0,2026-06-25T00:08:42.926852+00:00,3.0,True,61095.0,AI,3.0,cont-b864625262e5,False,BITFINEX_ZERO,Continuous AI Research,APPROVE,CONTINUOUS,62,INV_False_EF_True,v10.7-fresh-scope-relay-audit-2026-06-25,3.0,,,2.2,,False
COMPLETE,v10.7-fresh-scope-relay-audit-2026-06-25,44.0,COMPLETE,61002.621842,PERIODIC_RESEARCH_AI,bitfinex,-5.031195,tBTCF0:USTF0,2026-06-25T00:08:44.657345+00:00,3.0,True,61095.0,COMPLETE,3.0,cont-b864625262e5,False,BITFINEX_ZERO,Continuous AI Research,APPROVE,CONTINUOUS,62,INV_False_EF_True,v10.7-fresh-scope-relay-audit-2026-06-25,3.0,SPAWN,,2.2,SHORT,False
APPROVE,v10.7-fresh-scope-relay-audit-2026-06-25,44.0,AI,61002.621842,PERIODIC_RESEARCH_AI,bitfinex,-5.031195,tBTCF0:USTF0,2026-06-25T00:08:44.715976+00:00,3.0,True,61095.0,AI,3.0,scan-67102425cad2,False,BITFINEX_ZERO,AI Scan (no orders),APPROVE,AI_SCAN,62,INV_False_EF_True,v10.7-fresh-scope-relay-audit-2026-06-25,3.0,,,2.2,,False
APPROVE,v10.7-fresh-scope-relay-audit-2026-06-25,44.0,AI,61002.621842,PERIODIC_RESEARCH_AI,bitfinex,-5.031195,tBTCF0:USTF0,2026-06-25T00:08:44.856815+00:00,3.0,True,61095.0,AI,3.0,c604c-00936fcabf93,False,BITFINEX_ZERO,AI60-65 · Spread4 · Chase 3+,APPROVE,COMBO_604_SP4_CHASE_3PLUS,62,INV_False_EF_True,v10.7-fresh-scope-relay-audit-2026-06-25,3.0,,,2.2,,False
COMPLETE,v10.7-fresh-scope-relay-audit-2026-06-25,44.0,COMPLETE,61002.621842,PERIODIC_RESEARCH_AI,bitfinex,-5.031195,tBTCF0:USTF0,2026-06-25T00:08:46.438875+00:00,3.0,True,61095.0,COMPLETE,3.0,c604c-00936fcabf93,False,BITFINEX_ZERO,AI60-65 · Spread4 · Chase 3+,APPROVE,COMBO_604_SP4_CHASE_3PLUS,62,INV_False_EF_True,v10.7-fresh-scope-relay-audit-2026-06-25,3.0,SPAWN,,2.2,SHORT,False
APPROVE,v10.7-fresh-scope-relay-audit-2026-06-25,44.0,AI,,PERIODIC_RESEARCH_AI,bitfinex,-5.088433,tBTCF0:USTF0,2026-06-25T00:11:55.730459+00:00,3.0,True,,AI,3.0,cont-1b9e7a799c06,False,BITFINEX_ZERO,Continuous AI Research,APPROVE,CONTINUOUS,62,INV_False_EF_True,v10.7-fresh-scope-relay-audit-2026-06-25,3.0,,,1.8,,False
COMPLETE,v10.7-fresh-scope-relay-audit-2026-06-25,44.0,COMPLETE,,PERIODIC_RESEARCH_AI,bitfinex,-5.088433,tBTCF0:USTF0,2026-06-25T00:11:57.436357+00:00,3.0,True,,COMPLETE,3.0,cont-1b9e7a799c06,False,BITFINEX_ZERO,Continuous AI Research,APPROVE,CONTINUOUS,62,INV_False_EF_True,v10.7-fresh-scope-relay-audit-2026-06-25,3.0,SPAWN,,1.8,SHORT,False
APPROVE,v10.7-fresh-scope-relay-audit-2026-06-25,44.0,AI,,PERIODIC_RESEARCH_AI,bitfinex,-5.088433,tBTCF0:USTF0,2026-06-25T00:11:57.503481+00:00,3.0,True,,AI,3.0,scan-2e6bcfcaf4ee,False,BITFINEX_ZERO,AI Scan (no orders),APPROVE,AI_SCAN,62,INV_False_EF_True,v10.7-fresh-scope-relay-audit-2026-06-25,3.0,,,1.8,,False
APPROVE,v10.7-fresh-scope-relay-audit-2026-06-25,44.0,AI,61001.021842,PERIODIC_RESEARCH_AI,bitfinex,-5.087856,tBTCF0:USTF0,2026-06-25T00:11:57.632274+00:00,3.0,True,61151.0,AI,3.0,c604c-c4581074fb63,False,BITFINEX_ZERO,AI60-65 · Spread4 · Chase 3+,APPROVE,COMBO_604_SP4_CHASE_3PLUS,62,INV_False_EF_True,v10.7-fresh-scope-relay-audit-2026-06-25,3.0,,,1.8,,False
