ts,bull_score,bear_score,velocity,delta,volume_ratio,weaken_signals,trend_state,base_state,structure_score,mtf_agreement
2026-06-23T10:00:43.600966+00:00,3,8,0.0,-13.28208075999978,0.5547143999838248,0,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T10:01:21.599790+00:00,3,8,2.4031272671262845e-05,-13.287284553999779,0.04697958389430871,2,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T10:01:51.779919+00:00,3,8,1.9227891645159054e-05,-13.30699481799978,0.3466653434878871,2,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T10:02:21.914276+00:00,3,8,9.122315152808929e-05,-13.30281691999978,0.011907316024049064,2,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T10:02:52.445956+00:00,3,8,3.0383931167365403e-05,-13.185390081999795,2.8396373304314166,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T10:03:23.448634+00:00,3,8,2.876509732611378e-05,-12.904123152999793,1.705883570234541,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T10:03:53.672120+00:00,3,8,3.355689333020166e-05,-12.861726703999793,9.251997305353434,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T10:04:33.545647+00:00,3,8,7.98938987872619e-06,-12.74835750399979,0.061257026778227475,2,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T10:05:03.808194+00:00,3,8,2.0774251013926693e-05,-12.63407702299979,11.792643523449717,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T10:05:34.586157+00:00,3,8,1.118621852322239e-05,-12.32014181599978,0.0247174578575063,2,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T10:06:05.666715+00:00,3,8,6.406468708871564e-06,-12.114307513999773,1.7864256075432978,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T10:06:35.799364+00:00,3,8,6.406468708871564e-06,-12.114307513999773,1.7864256075432978,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T10:07:06.418756+00:00,3,8,6.406468708871564e-06,-12.114307513999773,1.7864256075432978,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T10:07:37.598541+00:00,3,8,3.1969964059973445e-05,-12.015007906999772,0.01780853533943104,2,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T10:08:08.553927+00:00,3,8,0.0,-11.82015561999976,0.0021187400395382312,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T10:08:39.815579+00:00,3,8,-6.399590426212723e-05,-11.906733519999761,2.389786829622294,0,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T10:09:22.970329+00:00,3,8,-4.7996392758925066e-05,-11.905965675999763,3.6216697329330034,0,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T10:09:53.090842+00:00,3,8,2.0100895626066693e-08,-12.026123132999762,6.698215750398427,0,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T10:10:23.098458+00:00,3,8,-3.6779899104373935e-05,-12.105251146999766,0.0038091974892634343,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
