ts,trade_id,decision,reason,skip_stage,ai_win_prob,ai_threshold,ai_decision_text,edge_score,edge_threshold,effective_threshold,invert_signal,early_fail_enabled,experiment_tag,features_price,features_ema9,features_delta,controls_edge,final_direction,ai_error,ai_source,edge_trigger_reason,exchange,data_symbol,bot_version,fee_profile,analyzer_sync_id,research_lane,research_model
2026-06-23T18:43:03.626716+00:00,cont-ea3c4920713f,COMPLETE,COMPLETE,COMPLETE,62,44.0,APPROVE,4.6,3.0,3.0,False,True,INV_False_EF_True,,,2.678355,3.0,SHORT,False,SPAWN,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,CONTINUOUS,Continuous AI Research
2026-06-23T18:43:03.724549+00:00,cont-ea3c4920713f,PIPELINE_WARNING,PIPELINE_WARNING,PIPELINE_WARNING,62,44.0,APPROVE,4.6,3.0,3.0,False,True,INV_False_EF_True,,,2.678355,3.0,SHORT,False,SPAWN,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,CONTINUOUS,Continuous AI Research
2026-06-23T18:43:03.766398+00:00,0dbbe8b1-5984-442e-b850-faa1246dce2e,AI,APPROVE,AI,62,44.0,APPROVE,4.6,3.0,3.0,False,True,INV_False_EF_True,,,2.677682,3.0,,False,,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,AI_SCAN,AI Scan (no orders)
2026-06-23T18:46:10.373056+00:00,cont-4f831fa299b4,AI,APPROVE,AI,62,44.0,APPROVE,3.6,3.0,3.0,False,True,INV_False_EF_True,62194.0,62383.639333,3.050492,3.0,,False,,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,CONTINUOUS,Continuous AI Research
2026-06-23T18:46:10.737861+00:00,cont-4f831fa299b4,COMPLETE,COMPLETE,COMPLETE,62,44.0,APPROVE,3.6,3.0,3.0,False,True,INV_False_EF_True,62194.0,62383.639333,3.050492,3.0,SHORT,False,SPAWN,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,CONTINUOUS,Continuous AI Research
2026-06-23T18:46:10.769830+00:00,cont-4f831fa299b4,PIPELINE_WARNING,PIPELINE_WARNING,PIPELINE_WARNING,62,44.0,APPROVE,3.6,3.0,3.0,False,True,INV_False_EF_True,62194.0,62383.639333,3.050492,3.0,SHORT,False,SPAWN,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,CONTINUOUS,Continuous AI Research
2026-06-23T18:46:10.803499+00:00,98737601-628a-4fe2-9b6e-c2291f21600d,AI,APPROVE,AI,62,44.0,APPROVE,3.6,3.0,3.0,False,True,INV_False_EF_True,62194.0,62383.639333,3.050492,3.0,,False,,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,AI_SCAN,AI Scan (no orders)
2026-06-23T18:49:18.566523+00:00,cont-ddb71299efa1,AI,APPROVE,AI,62,44.0,APPROVE,3.6,3.0,3.0,False,True,INV_False_EF_True,62184.0,62384.439333,2.31701,3.0,,False,,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,CONTINUOUS,Continuous AI Research
2026-06-23T18:49:19.764048+00:00,cont-ddb71299efa1,COMPLETE,COMPLETE,COMPLETE,62,44.0,APPROVE,3.6,3.0,3.0,False,True,INV_False_EF_True,62184.0,62384.439333,2.31701,3.0,SHORT,False,SPAWN,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,CONTINUOUS,Continuous AI Research
2026-06-23T18:49:19.992286+00:00,cont-ddb71299efa1,PIPELINE_WARNING,PIPELINE_WARNING,PIPELINE_WARNING,62,44.0,APPROVE,3.6,3.0,3.0,False,True,INV_False_EF_True,62184.0,62384.439333,2.31701,3.0,SHORT,False,SPAWN,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,CONTINUOUS,Continuous AI Research
